code,name,nmc,mktcap
603326,我乐家居,316995.05985,323679.546
603324,盛剑环境,203429.68126,813534.8
603323,苏农银行,745915.865842,933990.391054
603322,超讯通信,192050.04,196504.05
603321,梅轮电梯,213979.0,213979.0
603320,迪贝电气,175770.177856,175770.177856
603319,湘油泵,314795.2962,314795.2962
603318,水发燃气,306189.03555,306189.03555
603317,天味食品,416002.40498,1695368.31698
603316,诚邦股份,140324.184,140324.184
603315,福鞍股份,541519.118262,755898.661968
603313,梦百合,702713.008472,704521.994872
603311,金海高科,215880.0,215880.0
603309,维力医疗,300560.0,300560.0
603308,应流股份,1491309.728543,1491309.728543
603306,华懋科技,1250798.282244,1250798.282244
603305,旭升股份,1601738.881006,1601738.881006
603303,得邦照明,790774.10535,790774.10535
603301,振德医疗,724555.903104,724555.903104
603300,华铁应急,832314.333642,853960.35373
603299,苏盐井神,559999.44,775154.127748
603298,杭叉集团,1394030.925868,1394030.925868
603297,永新光学,659613.1815,665069.405
603290,斯达半导,3039853.432,6160000.0
603289,泰瑞机器,248715.0432,276795.0432
603288,海天味业,42437492.33658,42437492.33658
603286,日盈电子,135020.508,136630.158
603283,赛腾股份,388695.826984,395336.275954
603279,景津环保,644962.796239,1396096.8555
603278,大业股份,302852.52096,306194.23296
603277,银都股份,802875.3075,826572.74
603269,海鸥股份,136935.459922,136935.459922
603268,松发股份,186998.2128,186998.2128
603267,鸿远电子,2306295.916552,3402859.368
603266,天龙股份,227964.050602,229343.86415
603260,合盛硅业,19980338.0,22880800.955677
603259,药明康德,38423231.703488,44548976.88872
603258,电魂网络,557465.7921,568884.5267
603256,宏和科技,130126.181097,840054.6
603239,浙江仙通,381444.48,381444.48
603238,诺邦股份,218629.26,222411.15
603236,移远通信,1414354.656,2227081.08496
603233,大参林,3344978.187797,3356600.527997
603232,格尔软件,326264.622464,326264.622464
603229,奥翔药业,729914.080896,738860.640804
603228,景旺电子,2104101.773353,2132896.848528
603227,雪峰科技,451868.2,497055.02
603226,菲林格尔,187043.362272,187043.362272
603225,新凤鸣,2923288.008301,2971949.53592
603223,恒通股份,1030458.24,1030458.24
603222,济民医疗,474560.0,505322.563044
603221,爱丽家居,55983.84,221280.0
603220,中贝通信,277168.2836,504275.68
603218,日月股份,3562218.50661,3570458.79321
603217,元利科技,194679.3588,542962.56
603214,爱婴室,347779.4166,350335.2006
603212,赛伍技术,858889.24924,1346033.65
603208,江山欧派,651377.4498,651377.4498
603203,快克股份,663077.12032,663077.12032
603200,上海洗霸,295699.83204,295699.83204
603199,九华旅游,230989.16,230989.16
603198,迎驾贡酒,4318400.0,4318400.0
603197,保隆科技,458707.077486,574931.691364
603196,日播时尚,173520.0,173520.0
603195,公牛集团,1221334.38117,9712600.8615
603192,汇得科技,264213.334159,264213.334159
603189,网达软件,415104.0,506750.89612
603188,亚邦股份,347328.0,347328.0
603187,海容冷链,739178.712153,974454.109911
603186,华正新材,545674.712814,553124.444928
603185,上机数控,2830824.672604,7620674.879524
603183,建研院,228965.415595,242491.558652
603181,皇马科技,798277.2,798277.2
603180,金牌厨柜,437085.902036,471782.908912
603179,新泉股份,1064192.53513,1064192.53513
603178,圣龙股份,202369.741,202369.741
603177,德创环保,314918.0,314918.0
603171,税友股份,148072.32,1480686.72
603169,兰石重装,739206.275778,739206.275778
603168,莎普爱思,309043.614042,309043.614042
603167,渤海轮渡,417538.60767,420597.62667
603166,福达股份,519200.40867,566724.986927
603165,荣晟环保,362116.454528,362116.454528
603161,科华控股,182624.6,182624.6
603160,汇顶科技,4859128.114894,4872690.606751
603159,上海亚虹,259700.0,259700.0
603158,腾龙股份,380841.77248,442069.946513
603157,*ST拉夏,80489.932534,132536.537364
603156,养元饮品,3886330.8456,3886330.8456
603155,新亚强,281330.26,1125321.04
603139,康惠制药,173391.68,173391.68
603138,海量数据,323915.919768,330179.1
603136,天目湖,327877.93808,327877.93808
603133,碳元科技,198098.3844,198098.3844
603131,上海沪工,616441.332867,659173.105929
603129,春风动力,1612527.6,1612527.6
603128,华贸物流,1793964.27027,1793964.27027
603127,昭衍新药,5376715.2439,6411828.8364
603126,中材节能,630646.5,630646.5
603123,翠微股份,397420.492745,551927.035515
603121,华培动力,125307.02448,277890.262
603118,共进股份,694281.33214,694281.33214
603117,万林物流,233630.321238,233630.321238
603116,红蜻蜓,343415.6768,343415.6768
603115,海星股份,108160.0,432640.0
603113,金能科技,1341905.147072,1586583.201
603112,华翔股份,173713.501454,492346.16321
603111,康尼机电,463134.7205,550274.618136
603110,东方材料,632455.618676,632455.618676
603109,神驰机电,135202.99,424902.99
603108,润达医疗,611991.754176,611991.754176
603106,恒银科技,268588.32,268588.32
603105,芯能科技,793000.0,793000.0
603103,横店影视,839680.8,839680.8
603101,汇嘉时代,264364.8,264364.8
603100,川仪股份,787630.0,787630.0
603099,长白山,300270.42,300270.42
603098,森特股份,2376646.702958,2376646.702958
603096,新经典,427384.42855,427384.42855
603095,越剑智能,91106.1564,321552.0
603093,南华期货,144622.821,799186.31983
603090,宏盛股份,162700.0,162700.0
603089,正裕工业,186008.094756,186008.094756
603088,宁波精达,248628.352,248628.352
603087,甘李药业,2243153.723926,4369342.74
603086,先达股份,219569.1106,221220.342
603085,天成自控,253234.196856,253234.196856
603083,剑桥科技,338227.779006,338227.779006
603081,大丰实业,470925.301284,470925.301284
603080,新疆火炬,249040.0,249040.0
603079,圣达生物,293931.440886,293931.440886
603078,江化微,471509.211846,471509.211846
603077,和邦生物,3673800.094848,3673800.094848
603076,乐惠国际,412436.492448,412436.492448
603069,海汽集团,544468.0,544468.0
603068,博通集成,609781.61088,866447.80416
603067,振华股份,513990.4,606032.069872
603066,音飞储存,270933.3129,270933.3129
603063,禾望电气,1022296.8576,1029386.6496
603060,国检集团,1159669.28,1159669.28
603059,倍加洁,209100.0,209100.0
603058,永吉股份,352860.6448,352860.6448
603056,德邦股份,1105920.0,1183055.00544
603055,台华新材,1278669.093576,1384217.950968
603053,成都燃气,646706.17,1024890.17
603050,科林电气,287436.2972,287436.2972
603045,福达合金,192117.52,192117.52
603043,广州酒家,1217159.704016,1217159.704016
603042,华脉科技,169184.0,199773.76096
603041,美思德,174800.85644,174835.60444
603040,新坐标,296383.909108,296383.909108
603039,泛微网络,1676224.426968,1700791.717118
603038,华立股份,194443.251552,218248.480032
603037,凯众股份,176444.0707,176444.0707
603036,如通股份,169044.066,171125.244
603035,常熟汽饰,456818.582832,456818.582832
603033,三维股份,1175613.34688,2013129.37231
603032,*ST德新,562108.104,562108.104
603031,安德利,433552.0,433552.0
603030,全筑股份,190498.50498,205336.827036
603029,天鹅股份,126475.7,126475.7
603028,赛福天,238530.24,238530.24
603027,千禾味业,1511264.999892,1519283.664516
603026,石大胜华,6637770.0,6637770.0
603025,大豪科技,3085568.209717,3099662.426717
603023,威帝股份,214152.406467,214152.406467
603022,新通联,261200.0,261200.0
603021,山东华鹏,154214.96974,154214.96974
603020,爱普股份,477760.0,477760.0
603019,中科曙光,3982251.03363,4016398.83363
603018,华设集团,552280.906352,552280.906352
603017,中衡设计,262126.961832,264031.962144
603016,新宏泰,315136.32,315136.32
603015,弘讯科技,303972.688,303972.688
603013,亚普股份,817530.0,824301.8735
603012,创力集团,385118.8,385118.8
603011,合锻智能,243330.463148,244283.786948
603010,万盛股份,1389637.669836,1394673.607596
603009,北特科技,221996.28432,235326.938384
603008,喜临门,956921.93389,956921.93389
603007,ST花王,107017.216086,107769.383286
603006,联明股份,166429.100006,221455.45175
603005,晶方科技,1796626.914992,1800438.882992
603003,龙宇燃油,286942.211222,286942.211222
603002,宏昌电子,551127.2949,810776.049915
603001,奥康国际,346045.74,346045.74
603000,人民网,1533593.494672,1533593.494672
601999,出版传媒,329446.9906,329446.9906
601998,中信银行,15493968.83125,22265352.985785
601997,贵阳银行,2076223.43117,2431371.72054
601996,丰林集团,396385.4888,396385.4888
601995,中金公司,1811472.4089,27240210.506124
601992,金隅集团,2475245.004408,3171298.026798
601991,大唐发电,4437799.899948,6625402.360432
601990,南京证券,3714048.761742,3782206.420884
601989,中国重工,10798979.804898,11150195.273436
601988,中国银行,64283482.02803,89788276.328505
601985,中国核电,12943284.313648,13284030.581521
601975,招商南油,761988.062966,1057906.878864
601969,海南矿业,3586911.77619,3709822.672715
601968,宝钢包装,733670.4108,992339.31744
601966,玲珑轮胎,3993506.595328,4043620.540928
601965,中国汽研,1443802.614731,1477621.334091
601963,重庆银行,301587.063512,3015870.634252
601958,金钼股份,2742613.74,2742613.74
601956,东贝集团,140553.0,347186.28
601952,苏垦农发,1460680.0,1460680.0
601949,中国出版,1055227.5,1055227.5
601939,建设银行,5689038.960358,148256509.6492
601933,永辉超市,3702086.300528,3702086.300528
601929,吉视传媒,619112.25116,619112.25116
601928,凤凰传媒,1862866.8,1862866.8
601921,浙版传媒,219111.111878,2191111.111878
601919,中远海控,24348281.926367,34411824.712601
601918,新集能源,1673490.0028,1673490.0028
601916,浙商银行,2474758.102952,7507849.962634
601908,京运通,3177617.365076,3177617.365076
601901,方正证券,6857340.462035,6857340.462035
601900,南方传媒,657573.399444,657573.399444
601899,紫金矿业,21191500.81576,27222740.71616
601898,中煤能源,8218496.3592,11906279.7332
601890,亚星锚链,806855.4,806855.4
601888,中国中免,48226145.9368,48226145.9368
601886,江河集团,890926.6,890926.6
