code,name,nmc,mktcap,maxp5
603987,康德莱,679920.423,683107.243,15.95
603986,兆易创新,6773417.848687,6812327.836524,104.76
603985,恒润股份,923921.1072,1182381.164046,27.78
603983,丸美股份,1446006.0,1447609.87668,38.3
603982,泉峰汽车,192519.316016,477102.973056,24.47
603979,金诚信,1649330.54907,1649330.54907,28.5
603978,深圳新星,346320.997827,346320.997827,21.35
603977,国泰集团,529919.279284,529919.279284,8.64
603976,正川股份,337633.867263,337633.867263,23.35
603970,中农立华,570816.285408,570816.285408,30.5
603969,银龙股份,445730.0,445730.0,5.43
603968,醋化股份,474393.6,474393.6,24.04
603967,中创物流,367813.37931,367813.37931,10.62
603966,法兰泰克,385018.115326,385018.115326,13.38
603963,大理药业,322519.6,322519.6,15.78
603960,克来机电,499786.253035,506180.6185,20.76
603959,百利科技,642781.978512,642781.978512,13.31
603958,哈森股份,148674.24,151410.24,7.37
603956,威派格,428102.575646,428102.575646,8.62
603955,大千生态,270489.96,270489.96,20.31
603950,长源东谷,141513.858265,372055.854,16.12
603949,雪龙集团,100352.154,401359.0693,21.99
603948,建业股份,177800.194543,385033.57,23.78
603939,益丰药房,4595509.22335,4615303.02735,73.5
603938,三孚股份,1116990.227444,1116990.227444,42.7
603937,丽岛新材,267575.28,267575.28,13.2
603936,博敏电子,741478.552747,741478.552747,15.34
603933,睿能科技,229807.5756,236400.7086,11.44
603931,格林达,322021.064792,556368.76344,29.99
603929,亚翔集成,302331.12,302331.12,14.38
603928,兴业股份,235670.4,235670.4,11.93
603927,中科软,1769521.6,1769521.6,30.74
603926,铁流股份,208470.34208,229762.063531,10.2
603922,金鸿顺,321792.0,321792.0,26.48
603920,世运电路,816889.013355,816889.013355,16.17
603919,金徽酒,1272208.072476,1272208.072476,25.33
603918,金桥信息,303234.989658,305607.760578,8.79
603917,合力科技,415520.0,415520.0,28.99
603916,苏博特,723771.750156,723771.750156,18.52
603915,国茂股份,1393622.66421,1411238.89536,22.35
603912,佳力图,311640.349806,311640.349806,10.56
603909,建发合诚,235006.8616,235006.8616,13.31
603908,牧高笛,422347.77,422347.77,65.69
603906,龙蟠科技,1316591.482312,1543230.484093,27.96
603903,中持股份,197650.765704,249447.13196,9.88
603901,永创智能,779587.339839,789352.797387,16.29
603900,莱绅通灵,227776.99896,227776.99896,6.81
603899,晨光股份,5034864.889,5051785.1225,55.01
603898,好莱客,378824.511827,378824.511827,12.41
603897,长城科技,470260.481318,470260.481318,23.1
603896,寿仙谷,748582.504488,748582.504488,39.3
603895,天永智能,281332.24,281332.24,28.0
603893,瑞芯微,1542132.0075,3370331.3875,83.66
603890,春秋电子,469332.696345,469332.696345,10.84
603889,新澳股份,388415.508492,388415.508492,7.68
603888,新华网,931657.7012,931657.7012,19.5
603887,城地香江,341220.335155,341220.335155,7.8
603886,元祖股份,466560.0,466560.0,19.8
603885,吉祥航空,3006234.416053,3385214.054772,16.15
603883,老百姓,2416147.338798,2426762.140398,46.62
603882,金域医学,3265738.111926,3287722.69845,72.28
603881,数据港,850605.731442,850605.731442,26.59
603880,南卫股份,182096.46,184258.62,6.9
603879,永悦科技,212731.90848,214490.14848,6.12
603878,武进不锈,476502.270272,476502.270272,13.1
603877,太平鸟,874080.487245,883811.487055,19.17
603876,鼎胜新材,2336539.964168,2354691.104868,48.7
603871,嘉友国际,1005597.728567,1005597.728567,21.58
603869,新智认知,470194.473456,470194.473456,9.59
603868,飞科电器,3259594.8,3259594.8,77.93
603867,新化股份,621223.72,623201.02,33.97
603866,桃李面包,2190282.143328,2190282.143328,16.8
603863,松炀资源,257859.0,257859.0,13.39
603861,白云电器,350671.222987,360546.824466,8.36
603860,中公高科,179102.48,179102.48,28.28
603859,能科科技,481215.914037,481215.914037,30.55
603858,步长制药,2704274.267025,2704274.267025,27.27
603856,东宏股份,299748.6674,300884.9354,11.89
603855,华荣股份,852297.0,857399.86,25.85
603848,好太太,515686.0,515686.0,13.43
603839,安正时尚,282872.26954,282872.26954,7.24
603838,四通股份,180573.344,202890.144,6.59
603836,海程邦达,143338.842856,343153.316264,16.82
603833,欧派家居,7017430.51008,7017430.51008,120.0
603829,洛凯股份,188800.0,188800.0,12.14
603826,坤彩科技,2738268.0,2738268.0,61.39
603825,华扬联众,359484.567288,359484.567288,14.9
603823,百合花,549048.46896,552270.8124,17.8
603822,嘉澳环保,314525.177284,316906.431914,42.7
603819,神力股份,332038.535175,332038.535175,15.46
603818,曲美家居,409759.255476,414711.845476,7.19
603817,海峡环保,295324.03648,350531.95672,6.64
603816,顾家家居,3386193.05828,3386193.05828,41.5
603815,交建股份,567553.523495,567553.523495,9.48
603813,原尚股份,139210.176,166647.04,15.9
603811,诚意药业,387388.0416,387388.0416,18.18
603810,丰山集团,355930.11314,359480.9442,23.08
603809,豪能股份,441622.523342,446122.969292,11.58
603808,歌力思,348423.676832,348423.676832,9.94
603806,福斯特,8086474.285031,8086474.285031,65.68
603803,瑞斯康达,282107.22319,290897.62319,6.84
603801,志邦家居,879539.62575,888766.50075,30.1
603800,道森股份,648336.0,648336.0,33.3
603799,华友钴业,9928222.835056,10041349.062032,66.0
603798,康普顿,226800.0,226800.0,11.85
603797,联泰环保,319773.591144,343455.932652,5.93
603790,雅运股份,211070.08,211070.08,11.43
603789,星光农机,253760.0,253760.0,10.07
603788,宁波高发,255409.50286,255409.50286,11.68
603787,新日股份,413100.0,413100.0,20.86
603786,科博达,2721880.3,2749078.694,71.77
603779,威龙股份,220945.438256,220945.438256,6.79
603778,乾景园林,419142.856584,419142.856584,7.4
603777,来伊份,728315.640912,728315.640912,25.9
603776,永安行,336721.38525,337349.59775,14.78
603773,沃格光电,272417.822014,302868.952308,19.0
603768,常青股份,347208.0,347208.0,17.69
603767,中马传动,245444.316,247185.78,8.2
603766,隆鑫通用,1059627.5946,1059627.5946,5.43
603759,海天股份,190754.759708,451139.52,10.13
603758,秦安股份,386580.200169,386580.200169,9.02
603757,大元泵业,363700.168,366409.5084,23.88
603755,日辰股份,409444.003512,409444.003512,42.98
603739,蔚蓝生物,355144.00761,355144.00761,14.3
603738,泰晶科技,641324.841984,649647.192384,24.77
603737,三棵树,4515367.64457,4515367.64457,125.96
603733,仙鹤股份,2090391.986844,2090391.986844,33.1
